BioProject,#Organism Name,Organism Groups,Strain,BioSample,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
PRJNA343475,Agrilus planipennis,Eukaryota;Animals;Insects,EAB-ADULT,SAMN02439909,GCA_000699045.2,Scaffold,353.073,35.9996,mitochondrion MT:NC_030758.1/,JENH02,3613,22159,2014-06-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/045/GCA_000699045.2_Apla_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/045/GCF_000699045.2_Apla_2.0
PRJNA335935,Myodes glareolus,Eukaryota;Animals;Mammals,2016_BV1,SAMN05860961,GCA_004368595.1,Scaffold,2396.23,39.8,mitochondrion MT:CM015301.1,MULK01,50926,0,2019-03-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/368/595/GCA_004368595.1_ASM436859v1,
PRJNA542879,Sequoia sempervirens,Eukaryota;Plants;Land Plants,SESE104,SAMN11654426,GCA_007258455.2,Scaffold,26549.7,35.4,chloroplast Pltd:CM017438.1,VDFB02,393407,0,2019-07-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/258/455/GCA_007258455.2_SESE.2.2,
PRJNA312399,Parus major,Eukaryota;Animals;Birds,Abel,SAMN03083587,GCA_001522545.3, Chromosome,1020.31,41.5208,chromosome 1:NC_031768.1/CM003709.1; chromosome 2:NC_031769.1/CM003710.1; chromosome 3:NC_031770.1/CM003711.1; chromosome 4:NC_031771.1/CM003712.1; chromosome 4A:NC_031772.1/CM003713.1; chromosome 1A:NC_031773.1/CM003714.1; chromosome 5:NC_031774.1/CM003715.1; chromosome 6:NC_031775.1/CM003716.2; chromosome 7:NC_031776.1/CM003717.2; chromosome 8:NC_031777.1/CM003718.2; chromosome 9:NC_031778.1/CM003719.1; chromosome 10:NC_031779.1/CM003720.1; chromosome 11:NC_031780.1/CM003721.1; chromosome 12:NC_031781.1/CM003722.1; chromosome 13:NC_031782.1/CM003723.1; chromosome 14:NC_031783.1/CM003724.1; chromosome 15:NC_031784.1/CM003725.1; chromosome 17:NC_031785.1/CM003726.1; chromosome 18:NC_031786.1/CM003727.1; chromosome 19:NC_031787.1/CM003728.1; chromosome 20:NC_031788.1/CM003729.1; chromosome 21:NC_031789.1/CM003730.1; chromosome 22:NC_031790.1/CM003731.1; chromosome 23:NC_031791.1/CM003732.1; chromosome 24:NC_031792.1/CM003733.1; chromosome 25LG1:NC_031793.1/CM003734.1; chromosome 25LG2:NC_031794.1/CM003735.1; chromosome 26:NC_031795.1/CM003736.1; chromosome 27:NC_031796.1/CM003737.1; chromosome 28:NC_031797.1/CM003738.1; chromosome Z:NC_031799.1/CM003740.1; linkage group LGE22:NC_031798.1/CM003739.1; mitochondrion MT:NC_040875.1/MH638304.1,JRXK01,1675,38619,2016-01-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/522/545/GCA_001522545.3_Parus_major1.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/522/545/GCF_001522545.3_Parus_major1.1
PRJNA344915,Raphanus sativus,Eukaryota;Plants;Land Plants,,SAMN03084390,GCA_000801105.2,Scaffold,426.614,37.2045,mitochondrion MT:NC_018551.1/; chloroplast Pltd:NC_024469.1/,JRUI02,10676,61216,2014-12-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/801/105/GCA_000801105.2_Rs1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/105/GCF_000801105.1_Rs1.0
PRJNA436980,Oryzias melastigma,Eukaryota;Animals;Fishes,HK-1,SAMN07596545,GCA_002922805.2, Chromosome,778.704,39.5979,linkage group LG1:NC_050512.1/CM022579.1; linkage group LG2:NC_050513.1/CM022580.1; linkage group LG3:NC_050514.1/CM022581.1; linkage group LG4:NC_050515.1/CM022582.1; linkage group LG5:NC_050516.1/CM022583.1; linkage group LG6:NC_050517.1/CM022584.1; linkage group LG7:NC_050518.1/CM022585.1; linkage group LG8:NC_050519.1/CM022586.1; linkage group LG9:NC_050520.1/CM022587.1; linkage group LG10:NC_050521.1/CM022588.1; linkage group LG11:NC_050522.1/CM022589.1; linkage group LG12:NC_050523.1/CM022590.1; linkage group LG13:NC_050524.1/CM022591.1; linkage group LG14:NC_050525.1/CM022592.1; linkage group LG15:NC_050526.1/CM022593.1; linkage group LG16:NC_050527.1/CM022594.1; linkage group LG17:NC_050528.1/CM022595.1; linkage group LG18:NC_050529.1/CM022596.1; linkage group LG19:NC_050530.1/CM022597.1; linkage group LG20:NC_050531.1/CM022598.1; linkage group LG21:NC_050532.1/CM022599.1; linkage group LG22:NC_050533.1/CM022600.1; linkage group LG23:NC_050534.1/CM022601.1; linkage group LG24:NC_050535.1/CM022602.1; mitochondrion MT:NC_018546.1/,NVQA02,8493,43112,2018-02-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/922/805/GCA_002922805.2_ASM292280v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/922/805/GCF_002922805.2_ASM292280v2
PRJNA797297,Marmota monax,Eukaryota;Animals;Mammals,L192,SAMN21332666,GCA_021218885.1,Scaffold,2638.78,39.9,mitochondrion MT:CM037776.1,JAIQCD01,3335,50783,2021-12-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/218/885/GCA_021218885.1_Marmota_monax_Labrador192_V1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/218/885/GCF_021218885.1_Marmota_monax_Labrador192_V1.0
PRJNA434122,Physeter catodon,Eukaryota;Animals;Mammals,SW-GA,SAMN07836523,GCA_002837175.2, Chromosome,2512.15,41.7225,chromosome 1:NC_041214.1/CM014785.1; chromosome 2:NC_041215.1/CM014786.1; chromosome 3:NC_041216.1/CM014787.1; chromosome 4:NC_041217.1/CM014788.1; chromosome 5:NC_041218.1/CM014789.1; chromosome 6:NC_041219.1/CM014790.1; chromosome 7:NC_041220.1/CM014791.1; chromosome 8:NC_041221.1/CM014792.1; chromosome 9:NC_041222.1/CM014793.1; chromosome 10:NC_041223.1/CM014794.1; chromosome 11:NC_041224.1/CM014795.1; chromosome 12:NC_041225.1/CM014796.1; chromosome 13:NC_041226.1/CM014797.1; chromosome 14:NC_041227.1/CM014798.1; chromosome 15:NC_041228.1/CM014799.1; chromosome 16:NC_041229.1/CM014800.1; chromosome 17:NC_041230.1/CM014801.1; chromosome 18:NC_041231.1/CM014802.1; chromosome 19:NC_041232.1/CM014803.1; chromosome 20:NC_041233.1/CM014804.1; chromosome 21:NC_041234.1/CM014805.1; mitochondrion MT:NC_002503.2/,PGGR02,14677,50591,2017-12-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/837/175/GCA_002837175.2_ASM283717v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/837/175/GCF_002837175.2_ASM283717v2
PRJNA308224,Cyprinodon variegatus,Eukaryota;Animals;Fishes,N-32,SAMN02736898,GCA_000732505.1,Scaffold,1035.18,39.5001,mitochondrion MT:NC_028088.1/,JPKM01,9259,36524,2014-07-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/505/GCA_000732505.1_C_variegatus-1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/505/GCF_000732505.1_C_variegatus-1.0
PRJNA579236,Tenebrio molitor,Eukaryota;Animals;Insects,Stoneville,SAMN13295117,GCA_014282415.2,Scaffold,294.411,35.8996,mitochondrion MT:CM025077.1,JABDTM02,31102,15586,2020-08-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/282/415/GCA_014282415.2_Tmol_A_ngnome66x_run1.1_130x_genome_v2,
PRJNA378663,Oncorhynchus kisutch,Eukaryota;Animals;Fishes,150728-3,SAMN05991263,GCA_002021735.2, Chromosome,2375.91,43.5459,linkage group LG1:NC_034174.2/CM007718.2; linkage group LG2:NC_034175.2/CM007719.2; linkage group LG3:NC_034176.2/CM007720.2; linkage group LG4:NC_034177.2/CM007721.2; linkage group LG5:NC_034178.2/CM007722.2; linkage group LG6:NC_034179.2/CM007723.2; linkage group LG7:NC_034180.2/CM007724.2; linkage group LG8:NC_034181.2/CM007725.2; linkage group LG9:NC_034182.2/CM007726.2; linkage group LG10:NC_034183.2/CM007727.2; linkage group LG11:NC_034184.2/CM007728.2; linkage group LG12:NC_034185.2/CM007729.2; linkage group LG13:NC_034186.2/CM007730.2; linkage group LG14:NC_034187.2/CM007731.2; linkage group LG15:NC_034188.2/CM007732.2; linkage group LG16:NC_034189.2/CM007733.2; linkage group LG17:NC_034190.2/CM007734.2; linkage group LG18:NC_034191.2/CM007735.2; linkage group LG19:NC_034192.2/CM007736.2; linkage group LG20:NC_034193.2/CM007737.2; linkage group LG21:NC_034194.2/CM007738.2; linkage group LG22:NC_034195.2/CM007739.2; linkage group LG23:NC_034196.2/CM007740.2; linkage group LG24:NC_034197.2/CM007741.2; linkage group LG25:NC_034198.2/CM007742.2; linkage group LG26:NC_034199.2/CM007743.2; linkage group LG27:NC_034200.2/CM007744.2; linkage group LG28:NC_034201.2/CM007745.2; linkage group LG29:NC_034202.2/CM007746.2; linkage group LG30:NC_034203.2/CM007747.2; mitochondrion MT:NC_009263.1/CM018699.1,MPKV02,4087,89277,2017-03-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/021/735/GCA_002021735.2_Okis_V2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/021/735/GCF_002021735.2_Okis_V2
PRJNA612505,Rattus rattus,Eukaryota;Animals;Mammals,New Zealand,SAMN12855339,GCA_011064425.1, Chromosome,2382.79,42.1324,chromosome 1:NC_046154.1/CM021548.1; chromosome 2:NC_046155.1/CM021549.1; chromosome 3:NC_046156.1/CM021550.1; chromosome 4:NC_046157.1/CM021551.1; chromosome 5:NC_046158.1/CM021552.1; chromosome 6:NC_046159.1/CM021553.1; chromosome 7:NC_046160.1/CM021554.1; chromosome 8:NC_046161.1/CM021555.1; chromosome 9:NC_046162.1/CM021556.1; chromosome 10:NC_046163.1/CM021557.1; chromosome 11:NC_046164.1/CM021558.1; chromosome 12:NC_046165.1/CM021559.1; chromosome 13:NC_046166.1/CM021560.1; chromosome 14:NC_046167.1/CM021561.1; chromosome 15:NC_046168.1/CM021562.1; chromosome 16:NC_046169.1/CM021563.1; chromosome 17:NC_046170.1/CM021564.1; chromosome 18:NC_046171.1/CM021565.1; chromosome X:NC_046172.1/CM021566.1; chromosome Y:NC_046173.1/CM021567.1; mitochondrion MT:NC_012374.1/,JAAIVD01,2173,35475,2020-03-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/064/425/GCA_011064425.1_Rrattus_CSIRO_v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/064/425/GCF_011064425.1_Rrattus_CSIRO_v1
PRJNA432585,Oncorhynchus tshawytscha,Eukaryota;Animals;Fishes,Ot180627B,SAMN17219827,GCA_018296145.1, Chromosome,2294.86,43.5409,linkage group LG01:NC_056429.1/CM031199.1; linkage group LG02:NC_056430.1/CM031200.1; linkage group LG03:NC_056431.1/CM031201.1; linkage group LG04:NC_056432.1/CM031202.1; linkage group LG05:NC_056433.1/CM031203.1; linkage group LG06:NC_056434.1/CM031204.1; linkage group LG07:NC_056435.1/CM031205.1; linkage group LG08:NC_056436.1/CM031206.1; linkage group LG09:NC_056437.1/CM031207.1; linkage group LG10:NC_056438.1/CM031208.1; linkage group LG11:NC_056439.1/CM031209.1; linkage group LG12:NC_056440.1/CM031210.1; linkage group LG13:NC_056441.1/CM031211.1; linkage group LG14:NC_056442.1/CM031212.1; linkage group LG15:NC_056443.1/CM031213.1; linkage group LG16:NC_056444.1/CM031214.1; linkage group LG17:NC_056445.1/CM031215.1; linkage group LG18:NC_056446.1/CM031216.1; linkage group LG19:NC_056447.1/CM031217.1; linkage group LG20:NC_056448.1/CM031218.1; linkage group LG21:NC_056449.1/CM031219.1; linkage group LG22:NC_056450.1/CM031220.1; linkage group LG23:NC_056451.1/CM031221.1; linkage group LG24:NC_056452.1/CM031222.1; linkage group LG25:NC_056453.1/CM031223.1; linkage group LG26:NC_056454.1/CM031224.1; linkage group LG27:NC_056455.1/CM031225.1; linkage group LG28:NC_056456.1/CM031226.1; linkage group LG29:NC_056457.1/CM031227.1; linkage group LG30:NC_056458.1/CM031228.1; linkage group LG31:NC_056459.1/CM031229.1; linkage group LG32:NC_056460.1/CM031230.1; linkage group LG33:NC_056461.1/CM031231.1; linkage group LG34:NC_056462.1/CM031232.1; mitochondrion MT:NC_002980.1/,JAEPEU01,9978,82597,2021-05-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/296/145/GCA_018296145.1_Otsh_v2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/296/145/GCF_018296145.1_Otsh_v2.0
PRJNA796333,Mytilus californianus,Eukaryota;Animals;Other Animals,M0D057914Y,SAMN24505264,GCA_021869535.1,Scaffold,1651.97,32.6,mitochondrion MT:CM038905.1,JAKFGE01,176,0,2022-02-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/869/535/GCA_021869535.1_xbMytCali1.0.p,
PRJNA636344,Vitis riparia,Eukaryota;Plants;Land Plants,1030,SAMN10662253,GCA_004353265.1, Chromosome,500.267,34.5114,chromosome 1:NC_048431.1/CM014904.1; chromosome 2:NC_048432.1/CM014905.1; chromosome 3:NC_048433.1/CM014906.1; chromosome 4:NC_048434.1/CM014907.1; chromosome 5:NC_048435.1/CM014908.1; chromosome 6:NC_048436.1/CM014909.1; chromosome 7:NC_048437.1/CM014910.1; chromosome 8:NC_048438.1/CM014911.1; chromosome 9:NC_048439.1/CM014912.1; chromosome 10:NC_048440.1/CM014913.1; chromosome 11:NC_048441.1/CM014914.1; chromosome 12:NC_048442.1/CM014915.1; chromosome 13:NC_048443.1/CM014916.1; chromosome 14:NC_048444.1/CM014917.1; chromosome 15:NC_048445.1/CM014918.1; chromosome 16:NC_048446.1/CM014919.1; chromosome 17:NC_048447.1/CM014920.1; chromosome 18:NC_048448.1/CM014921.1; chromosome 19:NC_048449.1/CM014922.1; chloroplast Pltd:NC_039680.1/,SJAQ01,175,39906,2019-03-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/353/265/GCA_004353265.1_EGFV_Vit.rip_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/353/265/GCF_004353265.1_EGFV_Vit.rip_1.0
PRJNA702526,Pimephales promelas,Eukaryota;Animals;Fishes,EPAAWBERC,SAMN12875914,GCA_016745375.1,Scaffold,1066.43,40.0,mitochondrion MT:NC_028087.1/,WIOS01,911,48455,2021-01-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/745/375/GCA_016745375.1_EPA_FHM_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/745/375/GCF_016745375.1_EPA_FHM_2.0
PRJNA407951,Delphinapterus leucas,Eukaryota;Animals;Mammals,GAN/ISIS: 26980492/103006,SAMN06216270,GCA_002288925.3,Scaffold,2362.78,41.4,mitochondrion MT:NC_034236.1/CM017888.1,NQVZ02,5905,50490,2017-09-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/925/GCA_002288925.3_ASM228892v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/288/925/GCF_002288925.2_ASM228892v3
PRJNA381078,Orbicella faveolata,Eukaryota;Animals;Other Animals,FL,SAMN06562666,GCA_002042975.1,Scaffold,485.549,41.8997,mitochondrion MT:NC_007226.1/,MZGG01,1933,32587,2017-03-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/042/975/GCA_002042975.1_ofav_dov_v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/042/975/GCF_002042975.1_ofav_dov_v1
PRJNA548514,Oncorhynchus nerka,Eukaryota;Animals;Fishes,On170113-E2,SAMN11519041,GCA_006149115.1, Chromosome,1927.14,43.6311,linkage group LG1:NC_042535.1/CM016829.1; linkage group LG2:NC_042536.1/CM016840.1; linkage group LG3:NC_042537.1/CM016850.1; linkage group LG4:NC_042538.1/CM016851.1; linkage group LG5:NC_042539.1/CM016852.1; linkage group LG6:NC_042540.1/CM016853.1; linkage group LG7:NC_042541.1/CM016854.1; linkage group LG8:NC_042542.1/CM016855.1; linkage group LG9a:NC_042543.1/CM016856.1; linkage group LG10:NC_042544.1/CM016830.1; linkage group LG11:NC_042545.1/CM016831.1; linkage group LG12:NC_042546.1/CM016832.1; linkage group LG13:NC_042547.1/CM016833.1; linkage group LG14:NC_042548.1/CM016834.1; linkage group LG15:NC_042549.1/CM016835.1; linkage group LG16:NC_042550.1/CM016836.1; linkage group LG17:NC_042551.1/CM016837.1; linkage group LG18:NC_042552.1/CM016838.1; linkage group LG19:NC_042553.1/CM016839.1; linkage group LG20:NC_042554.1/CM016841.1; linkage group LG21:NC_042555.1/CM016842.1; linkage group LG22:NC_042556.1/CM016843.1; linkage group LG23:NC_042557.1/CM016844.1; linkage group LG24:NC_042558.1/CM016845.1; linkage group LG25:NC_042559.1/CM016846.1; linkage group LG26:NC_042560.1/CM016847.1; linkage group LG27:NC_042561.1/CM016848.1; linkage group LG28:NC_042562.1/CM016849.1; linkage group LG9b:NC_042563.1/CM016857.1; mitochondrion MT:NC_008615.1/,SZNR01,38027,69110,2019-05-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/149/115/GCA_006149115.1_Oner_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/149/115/GCF_006149115.1_Oner_1.0
PRJNA533175,Dreissena polymorpha,Eukaryota;Animals;Other Animals,Duluth1,SAMN11444935,GCA_020536995.1, Chromosome,1798.01,35.1299,chromosome 1:CM035915.1; chromosome 2:CM035916.1; chromosome 3:CM035917.1; chromosome 4:CM035918.1; chromosome 5:CM035919.1; chromosome 6:CM035920.1; chromosome 7:CM035921.1; chromosome 8:CM035922.1; chromosome 9:CM035923.1; chromosome 10:CM035924.1; chromosome 11:CM035925.1; chromosome 12:CM035926.1; chromosome 13:CM035927.1; chromosome 14:CM035928.1; chromosome 15:CM035929.1; chromosome 16:CM035930.1; mitochondrion MT:CM035931.1,JAIWYP01,194,189750,2021-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/536/995/GCA_020536995.1_UMN_Dpol_1.0,
PRJNA767562,Solea senegalensis,Eukaryota;Animals;Fishes,Sse05_10M,SAMN15430148,GCA_019176455.1, Chromosome,603.535,40.9142,linkage group LG1:NC_058021.1/CM032854.1; linkage group LG2:NC_058022.1/CM032855.1; linkage group LG3:NC_058023.1/CM032856.1; linkage group LG4:NC_058024.1/CM032857.1; linkage group LG5:NC_058025.1/CM032858.1; linkage group LG6:NC_058026.1/CM032859.1; linkage group LG7:NC_058027.1/CM032860.1; linkage group LG8:NC_058028.1/CM032861.1; linkage group LG9:NC_058029.1/CM032862.1; linkage group LG10:NC_058030.1/CM032863.1; linkage group LG11:NC_058031.1/CM032864.1; linkage group LG12:NC_058032.1/CM032865.1; linkage group LG13:NC_058033.1/CM032866.1; linkage group LG14:NC_058034.1/CM032867.1; linkage group LG15:NC_058035.1/CM032868.1; linkage group LG16:NC_058036.1/CM032869.1; linkage group LG17:NC_058037.1/CM032870.1; linkage group LG18 :NC_058041.1/CM032871.1; linkage group LG19:NC_058038.1/CM032872.1; linkage group LG20:NC_058039.1/CM032873.1; linkage group LG21:NC_058040.1/CM032874.1; mitochondrion MT:NC_008327.1/,JAGKHQ01,1937,42011,2021-07-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/176/455/GCA_019176455.1_IFAPA_SoseM_1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/176/455/GCF_019176455.1_IFAPA_SoseM_1
PRJNA682940,Teleopsis dalmanni,Eukaryota;Animals;Insects,2A,SAMN07271145,GCA_002237135.2, Chromosome,623.66,29.9448,chromosome 1:NC_051846.1/CM026970.1; chromosome 2:NC_051847.1/CM026971.1; chromosome X:NC_051848.1/CM026972.1; mitochondrion MT:CM026973.1,NLCU02,19962,34029,2017-07-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/237/135/GCA_002237135.2_ASM223713v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/237/135/GCF_002237135.1_ASM223713v2
PRJNA525136,Glycine soja,Eukaryota;Plants;Land Plants,,SAMN09862384,GCA_004193775.2, Chromosome,1013.77,35.2469,chromosome 1:NC_041002.1/CM014357.1; chromosome 2:NC_041003.1/CM014358.1; chromosome 3:NC_041004.1/CM014359.1; chromosome 4:NC_041005.1/CM014360.1; chromosome 5:NC_041006.1/CM014361.1; chromosome 6:NC_041007.1/CM014362.1; chromosome 7:NC_041008.1/CM014363.1; chromosome 8:NC_041009.1/CM014364.1; chromosome 9:NC_041010.1/CM014365.1; chromosome 10:NC_041011.1/CM014366.1; chromosome 11:NC_041012.1/CM014367.1; chromosome 12:NC_041013.1/CM014368.1; chromosome 13:NC_041014.1/CM014369.1; chromosome 14:NC_041015.1/CM014370.1; chromosome 15:NC_041016.1/CM014371.1; chromosome 16:NC_041017.1/CM014372.1; chromosome 17:NC_041018.1/CM014373.1; chromosome 18:NC_041019.1/CM014374.1; chromosome 19:NC_041020.1/CM014375.1; chromosome 20:NC_041021.1/CM014376.1; mitochondrion MT:NC_039768.1/; chloroplast Pltd:NC_022868.1/,QZWG01,1120,69277,2019-02-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/193/775/GCA_004193775.2_ASM419377v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/193/775/GCF_004193775.1_ASM419377v2
PRJNA736965,Zingiber officinale,Eukaryota;Plants;Land Plants,,SAMN15647981,GCA_018446385.1, Chromosome,3090.43,39.1569,chromosome 1B:NC_055986.1/CM031511.1; chromosome 1A:NC_055987.1/CM031510.1; chromosome 2A:NC_055988.1/CM031512.1; chromosome 2B:NC_055989.1/CM031513.1; chromosome 3A:NC_055990.1/CM031514.1; chromosome 3B:NC_055991.1/CM031515.1; chromosome 4A:NC_055992.1/CM031516.1; chromosome 4B:NC_055993.1/CM031517.1; chromosome 5A:NC_055994.1/CM031518.1; chromosome 5B:NC_055995.1/CM031519.1; chromosome 6B:NC_055996.1/CM031521.1; chromosome 6A:NC_055997.1/CM031520.1; chromosome 7A:NC_055998.1/CM031522.1; chromosome 7B:NC_055999.1/CM031523.1; chromosome 8A:NC_056000.1/CM031524.1; chromosome 8B:NC_056001.1/CM031525.1; chromosome 9A:NC_056002.1/CM031526.1; chromosome 9B:NC_056003.1/CM031527.1; chromosome 10A:NC_056004.1/CM031506.1; chromosome 10B:NC_056005.1/CM031507.1; chromosome 11A:NC_056006.1/CM031508.1; chromosome 11B:NC_056007.1/CM031509.1; chloroplast Pltd:NC_044775.1/CM031528.1,JACMSC01,211,101860,2021-05-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/446/385/GCA_018446385.1_Zo_v1.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/446/385/GCF_018446385.1_Zo_v1.1
PRJNA394254,Brugia pahangi,Eukaryota;Animals;Roundworms,FR3,SAMN07352407,GCA_012070555.1, Chromosome,96.3929,28.3034,chromosome 4:CM022444.1; mitochondrion MT:CM022469.1,JAAVKF01,146,0,2020-04-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/070/555/GCA_012070555.1_ASM1207055v1,
PRJNA726253,Oncorhynchus gorbuscha,Eukaryota;Animals;Fishes,QuinsamMale2020,SAMN18987060,GCA_021184085.1, Chromosome,2690.28,44.2838,linkage group LG01:NC_060173.1/CM037749.1; linkage group LG02:NC_060174.1/CM037750.1; linkage group LG03:NC_060175.1/CM037751.1; linkage group LG04:NC_060176.1/CM037752.1; linkage group LG05:NC_060177.1/CM037753.1; linkage group LG06:NC_060178.1/CM037754.1; linkage group LG07:NC_060179.1/CM037755.1; linkage group LG08:NC_060180.1/CM037756.1; linkage group LG09:NC_060181.1/CM037757.1; linkage group LG10:NC_060182.1/CM037758.1; linkage group LG11:NC_060183.1/CM037759.1; linkage group LG12:NC_060184.1/CM037760.1; linkage group LG13:NC_060185.1/CM037761.1; linkage group LG14:NC_060186.1/CM037762.1; linkage group LG15:NC_060187.1/CM037763.1; linkage group LG16:NC_060188.1/CM037764.1; linkage group LG17:NC_060189.1/CM037765.1; linkage group LG18:NC_060190.1/CM037766.1; linkage group LG19:NC_060191.1/CM037767.1; linkage group LG20:NC_060192.1/CM037768.1; linkage group LG21:NC_060193.1/CM037769.1; linkage group LG22:NC_060194.1/CM037770.1; linkage group LG23:NC_060195.1/CM037771.1; linkage group LG24:NC_060196.1/CM037772.1; linkage group LG25:NC_060197.1/CM037773.1; linkage group LG26:NC_060198.1/CM037774.1; linkage group LGY:NC_060199.1/CM037748.1; mitochondrion MT:NC_010959.1/,JAGYUW01,19028,80331,2021-12-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/184/085/GCA_021184085.1_OgorEven_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/184/085/GCF_021184085.1_OgorEven_v1.0
PRJNA268063,Populus euphratica,Eukaryota;Plants;Land Plants,,SAMN02981499,GCA_000495115.1,Scaffold,496.033,32.8012,chloroplast Pltd:NC_024747.1/,AOFL01,9615,49760,2013-11-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/495/115/GCA_000495115.1_PopEup_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/495/115/GCF_000495115.1_PopEup_1.0
